"Moth (Lepidoptera) data from Valles Caldera National Preserve, New Mexico",.,.,.,.,.,.,.,Site,MC01,MC01,MC01,MC04,MC04,MC04,MC05,MC05,MC05,MC06,MC06,MC06,MC09,MC09,MC09,MC10,MC10,MC10,MC11,MC11,MC11,MC12,MC12,MC12,PP02,PP02,PP02,PP03,PP03,PP03,PP04,PP04,PP04,PP06,PP06,PP06,PP07,PP07,PP07,PP10,PP10,PP10,PP11,PP11,PP11,PP12,PP12,PP12
"Data collected in 2012, the first year following the 2011 Las Conchas Fire.",.,.,.,.,.,.,.,Dates,6/14-6/15,7/15-7/16,8/27-8/29,6/20-6/21,7/19/-7/20,8/28-8/29,6/12-6/13,7/11-7/12,8/23-8/24,6/12-6/13,7/19/-7/20,8/28-8/29,6/12-6/13,7/17-7/18,8/21-8/22,6/12-6/13,7/15-7/16,8/22-8/23,6/13-6/14,7/11-7/12,8/22-8/23,6/13-6/14,7/17-7/18,8/29-8/30,6/5-6/6,7/24-7/25,8/26-8/27,6/8-6/9,7/9-7/10,8/21-8/22,6/20-6/21,7/19/-7/20,8/28-8/29,6/5-6/6,7/24-7/25,8/26-8/27,6/8-6/9,7/17-7/18,8/21-8/22,6/5-6/6,7/9-7/10,8/22-8/23,6/8-6/9,7/9-7/10,8/26-8/27,6/5-6/6,7/16-7/17,8/21-8/22
.,.,.,.,.,.,.,.,Forest Type,MixCon,MixCon,MixCon,MixCon,MixCon,MixCon,MixCon,MixCon,MixCon,MixCon,MixCon,MixCon,MixCon,MixCon,MixCon,MixCon,MixCon,MixCon,MixCon,MixCon,MixCon,MixCon,MixCon,MixCon,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa
.,.,.,.,.,.,.,.,Treatment,Burned,Burned,Burned,Burned,Burned,Burned,Burned,Burned,Burned,Burned,Burned,Burned,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Burned,Burned,Burned,Burned,Burned,Burned,Burned,Burned,Burned,Burned,Burned,Burned,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control
.,.,.,.,.,.,.,.,Replicate,1,1,1,2,2,2,3,3,3,4,4,4,1,1,1,2,2,2,3,3,3,4,4,4,1,1,1,2,2,2,3,3,3,4,4,4,1,1,1,2,2,2,3,3,3,4,4,4
.,.,.,.,.,.,.,.,Collection,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
Family,Sub-family,Tribe,Genus,species,No. collected,Genus species (Authority),Host plant category,Sp. Code,Record-1,Record-2,Record-3,Record-4,Record-5,Record-6,Record-7,Record-8,Record-9,Record-10,Record-11,Record-12,Record-13,Record-14,Record-15,Record-16,Record-17,Record-18,Record-19,Record-20,Record-21,Record-22,Record-23,Record-24,Record-25,Record-26,Record-27,Record-28,Record-29,Record-30,Record-31,Record-32,Record-33,Record-34,Record-35,Record-36,Record-37,Record-38,Record-39,Record-40,Record-41,Record-42,Record-43,Record-44,Record-45,Record-46,Record-47,Record-48
Drepanidae,Thyatirinae,,Habrosyne,scripta,1,Habrosyne scripta (Gosse),Shrub,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Erebidae,Arctiinae,Arctiini,Grammia,f-pallida,1,Grammia f-pallida (Strecker),Herbaceous,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Erebidae,Arctiinae,Arctiini,Grammia,parthenice,12,Grammia parthenice (W. Kirby),Herbaceous,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,3,2,0,0,2,0,0,0,0,0,0
Erebidae,Arctiinae,Arctiini,Grammia,williamsii,82,Grammia williamsii (Dodge),Herbaceous,4,1,1,1,3,0,0,0,0,0,0,0,0,1,5,0,5,8,0,10,0,0,5,5,0,2,1,0,1,2,0,3,0,0,1,1,0,3,0,0,3,4,0,12,1,0,3,0,0
